study_accession	experiment_accession	experiment_title	sample_taxon_id	sample_scientific_name	experiment_library_strategy	experiment_library_source	experiment_library_selection	sample_accession	sample_alias	experiment_instrument_model	pool_member_spots	run_1_size	run_1_accession	run_1_total_spots	run_1_total_bases
SRP484813	SRX23331862	GSM8027538: LCL_Ctrl_2_Basal; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS20194315	GSM8027538	Illumina NovaSeq 6000	79537140	5052222166	SRR27663996	79537140	16066502280
SRP484813	SRX23331861	GSM8027537: LCL_Ctrl_2_Stim_IL27; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS20194314	GSM8027537	Illumina NovaSeq 6000	84247208	5332382274	SRR27663997	84247208	17017936016
SRP484813	SRX23331860	GSM8027536: LCL_Ctrl_1_Basal; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS20194312	GSM8027536	Illumina NovaSeq 6000	84104188	5318560152	SRR27663998	84104188	16989045976
SRP484813	SRX23331859	GSM8027535: LCL_Ctrl_1_Stim_IL27; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS20194313	GSM8027535	Illumina NovaSeq 6000	92439514	5856192618	SRR27663999	92439514	18672781828
SRP484813	SRX23331858	GSM8027534: LCL_P2_Basal; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS20194310	GSM8027534	Illumina NovaSeq 6000	83256257	5315924285	SRR27664000	83256257	16817763914
SRP484813	SRX23331857	GSM8027533: LCL_P2_Stim_IL27; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS20194311	GSM8027533	Illumina NovaSeq 6000	70649893	4477431000	SRR27664001	70649893	14271278386
SRP484813	SRX23331856	GSM8027532: LCL_P1_1_Basal; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS20194309	GSM8027532	Illumina NovaSeq 6000	57341816	3653312675	SRR27664002	57341816	11583046832
SRP484813	SRX23331855	GSM8027531: LCL_P1_1_Stim_IL27; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS20194308	GSM8027531	Illumina NovaSeq 6000	77454923	4916465766	SRR27664003	77454923	15645894446
SRP484593	SRX23306204	Ramos-Lv-ZEBRA-2	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	Oligo-dT	SRS20182882	Ramos-Lv-ZEBRA-2	Illumina NovaSeq 6000	26769110	2658112094	SRR27638013	26769110	8030733000
SRP484593	SRX23306203	Ramos-Lv-ZEBRA-1	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	Oligo-dT	SRS20182881	Ramos-Lv-ZEBRA-1	Illumina NovaSeq 6000	26979508	2625343680	SRR27638014	26979508	8093852400
SRP484593	SRX23306202	Ramos-Lv-Vector-2	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	Oligo-dT	SRS20182880	Ramos-Lv-Vector-2	Illumina NovaSeq 6000	23502733	2326233686	SRR27638015	23502733	7050819900
SRP484593	SRX23306201	Ramos-Lv-Vector-1	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	Oligo-dT	SRS20182879	Ramos-Lv-Vector-1	Illumina NovaSeq 6000	24979133	2431076589	SRR27638016	24979133	7493739900
SRP484593	SRX23306200	Ramos-2	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	Oligo-dT	SRS20182878	Ramos-2	Illumina NovaSeq 6000	24696247	2413088862	SRR27638017	24696247	7408874100
SRP484593	SRX23306199	Ramos-1	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	Oligo-dT	SRS20182877	Ramos-1	Illumina NovaSeq 6000	22979145	2284808149	SRR27638018	22979145	6893743500
ERP122366	ERX11830036	qiita_ptid_16315:11135.Sample.X3156373	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736083	SAMEA115100637	Illumina NovaSeq 6000	7441594	704735036	ERR12454739	7441594	2167979607
ERP122366	ERX11829987	qiita_ptid_16315:11135.Sample.X3148813	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736036	SAMEA115100590	Illumina NovaSeq 6000	7534021	705038730	ERR12454690	7534021	2190918261
ERP122366	ERX11829850	qiita_ptid_16315:11135.BLANK.HNRC.1.1C	256318	metagenome	WGS	METAGENOMIC	PCR	ERS17735900	SAMEA115100454	Illumina NovaSeq 6000	1942769	192615158	ERR12454553	1942769	585028042
ERP122366	ERX11829883	qiita_ptid_16315:11135.BLANK.HNRC.4.11D	256318	metagenome	WGS	METAGENOMIC	PCR	ERS17735933	SAMEA115100487	Illumina NovaSeq 6000	270123	26196541	ERR12454586	270123	81257930
ERP122366	ERX11829940	qiita_ptid_16315:11135.Sample.X3145052	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17735989	SAMEA115100543	Illumina NovaSeq 6000	6768075	633679015	ERR12454643	6768075	1957476075
ERP122366	ERX11830029	qiita_ptid_16315:11135.Sample.X3155959	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736076	SAMEA115100630	Illumina NovaSeq 6000	4631645	442797124	ERR12454732	4631645	1357585972
ERP122366	ERX11829876	qiita_ptid_16315:11135.BLANK.HNRC.4.10E	256318	metagenome	WGS	METAGENOMIC	PCR	ERS17735926	SAMEA115100480	Illumina NovaSeq 6000	32118	3177111	ERR12454579	32118	9681235
ERP122366	ERX11830139	qiita_ptid_16315:11135.Sample.x3147840	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736185	SAMEA115100739	Illumina NovaSeq 6000	7948594	756679223	ERR12454842	7948594	2349648215
ERP122366	ERX11830077	qiita_ptid_16315:11135.Sample.X3161102	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736123	SAMEA115100677	Illumina NovaSeq 6000	5548893	511783903	ERR12454780	5548893	1596528213
ERP122366	ERX11830168	qiita_ptid_16315:11135.Sample.x3151913	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736214	SAMEA115100768	Illumina NovaSeq 6000	8114675	777131213	ERR12454871	8114675	2377853876
ERP122366	ERX11830040	qiita_ptid_16315:11135.Sample.X3157058	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736087	SAMEA115100641	Illumina NovaSeq 6000	4242812	405710962	ERR12454743	4242812	1254686714
ERP122366	ERX11829977	qiita_ptid_16315:11135.Sample.X3148352	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736026	SAMEA115100580	Illumina NovaSeq 6000	7577702	710493104	ERR12454680	7577702	2176772318
ERP122366	ERX11830061	qiita_ptid_16315:11135.Sample.X3159451	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736108	SAMEA115100662	Illumina NovaSeq 6000	4259263	411464666	ERR12454764	4259263	1256619395
ERP122366	ERX11829974	qiita_ptid_16315:11135.Sample.X3148282	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736023	SAMEA115100577	Illumina NovaSeq 6000	14449239	1402135321	ERR12454677	14449239	4274600650
ERP122366	ERX11830016	qiita_ptid_16315:11135.Sample.X3152613	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736064	SAMEA115100618	Illumina NovaSeq 6000	4230415	401492614	ERR12454719	4230415	1244124419
ERP122366	ERX11829937	qiita_ptid_16315:11135.Sample.X3144441	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17735986	SAMEA115100540	Illumina NovaSeq 6000	6617084	625389666	ERR12454640	6617084	1928417019
ERP122366	ERX11830200	qiita_ptid_16315:11135.Sample.x3158948	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736246	SAMEA115100800	Illumina NovaSeq 6000	10531772	1021468765	ERR12454903	10531772	3130262269
ERP122366	ERX11830222	qiita_ptid_16315:11135.Sample.x3162216	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736268	SAMEA115100822	Illumina NovaSeq 6000	3267936	307885313	ERR12454925	3267936	957415079
ERP122366	ERX11829995	qiita_ptid_16315:11135.Sample.X3149880	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736044	SAMEA115100598	Illumina NovaSeq 6000	4906226	458976886	ERR12454698	4906226	1414557426
ERP122366	ERX11829922	qiita_ptid_16315:11135.Sample.X3143561	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17735972	SAMEA115100526	Illumina NovaSeq 6000	7266774	702298618	ERR12454625	7266774	2141704860
ERP122366	ERX11830147	qiita_ptid_16315:11135.Sample.x3148448	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736193	SAMEA115100747	Illumina NovaSeq 6000	8827183	830665350	ERR12454850	8827183	2571004433
ERP122366	ERX11829878	qiita_ptid_16315:11135.BLANK.HNRC.4.10G	256318	metagenome	WGS	METAGENOMIC	PCR	ERS17735928	SAMEA115100482	Illumina NovaSeq 6000	60888	6117855	ERR12454581	60888	18358660
ERP122366	ERX11830140	qiita_ptid_16315:11135.Sample.x3147873	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736186	SAMEA115100740	Illumina NovaSeq 6000	6780335	637355538	ERR12454843	6780335	1972185294
ERP122366	ERX11830072	qiita_ptid_16315:11135.Sample.X3160537	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736118	SAMEA115100672	Illumina NovaSeq 6000	10053085	994047928	ERR12454775	10053085	3010532958
ERP122366	ERX11829856	qiita_ptid_16315:11135.BLANK.HNRC.2.2A	256318	metagenome	WGS	METAGENOMIC	PCR	ERS17735906	SAMEA115100460	Illumina NovaSeq 6000	22342	2205044	ERR12454559	22342	6729003
ERP122366	ERX11830012	qiita_ptid_16315:11135.Sample.X3152303	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736060	SAMEA115100614	Illumina NovaSeq 6000	8141552	776956739	ERR12454715	8141552	2405889871
ERP122366	ERX11830005	qiita_ptid_16315:11135.Sample.X3150389	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736053	SAMEA115100607	Illumina NovaSeq 6000	6443643	607575692	ERR12454708	6443643	1882390394
ERP122366	ERX11829968	qiita_ptid_16315:11135.Sample.X3148047	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736017	SAMEA115100571	Illumina NovaSeq 6000	5721782	524965242	ERR12454671	5721782	1625667824
ERP122366	ERX11830161	qiita_ptid_16315:11135.Sample.x3150346	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736207	SAMEA115100761	Illumina NovaSeq 6000	7680778	716221607	ERR12454864	7680778	2212751406
ERP122366	ERX11830019	qiita_ptid_16315:11135.Sample.X3152879	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736067	SAMEA115100621	Illumina NovaSeq 6000	5755970	540407608	ERR12454722	5755970	1634074375
ERP122366	ERX11829897	qiita_ptid_16315:11135.BLANK.HNRC.4.4B	256318	metagenome	WGS	METAGENOMIC	PCR	ERS17735947	SAMEA115100501	Illumina NovaSeq 6000	37152	3664718	ERR12454600	37152	11197081
ERP122366	ERX11830191	qiita_ptid_16315:11135.Sample.x3157268	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736237	SAMEA115100791	Illumina NovaSeq 6000	6766634	650381021	ERR12454894	6766634	2000790450
ERP122366	ERX11829886	qiita_ptid_16315:11135.BLANK.HNRC.4.11G	256318	metagenome	WGS	METAGENOMIC	PCR	ERS17735936	SAMEA115100490	Illumina NovaSeq 6000	72752	7178523	ERR12454589	72752	21937016
ERP122366	ERX11829971	qiita_ptid_16315:11135.Sample.X3148182	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736020	SAMEA115100574	Illumina NovaSeq 6000	9094925	844554944	ERR12454674	9094925	2593077991
ERP122366	ERX11830092	qiita_ptid_16315:11135.Sample.X3163074	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736138	SAMEA115100692	Illumina NovaSeq 6000	8961825	873158681	ERR12454795	8961825	2687069996
ERP122366	ERX11830167	qiita_ptid_16315:11135.Sample.x3151907	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736213	SAMEA115100767	Illumina NovaSeq 6000	7207863	642076169	ERR12454870	7207863	1991088705
ERP122366	ERX11829920	qiita_ptid_16315:11135.Sample.X3143439	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17735970	SAMEA115100524	Illumina NovaSeq 6000	8684233	792746977	ERR12454623	8684233	2459972122
ERP122366	ERX11829889	qiita_ptid_16315:11135.BLANK.HNRC.4.12B	256318	metagenome	WGS	METAGENOMIC	PCR	ERS17735939	SAMEA115100493	Illumina NovaSeq 6000	61201	5970144	ERR12454592	61201	18447525
ERP122366	ERX11829938	qiita_ptid_16315:11135.Sample.X3144677	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17735987	SAMEA115100541	Illumina NovaSeq 6000	5372549	507223165	ERR12454641	5372549	1561465236
ERP122366	ERX11829849	qiita_ptid_16315:11135.BLANK.HNRC.1.1B	256318	metagenome	WGS	METAGENOMIC	PCR	ERS17735899	SAMEA115100453	Illumina NovaSeq 6000	1870706	185802654	ERR12454552	1870706	563732355
ERP122366	ERX11829858	qiita_ptid_16315:11135.BLANK.HNRC.2.2C	256318	metagenome	WGS	METAGENOMIC	PCR	ERS17735908	SAMEA115100462	Illumina NovaSeq 6000	19373	1917873	ERR12454561	19373	5835697
ERP122366	ERX11830025	qiita_ptid_16315:11135.Sample.X3155201	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736073	SAMEA115100627	Illumina NovaSeq 6000	4431777	420451629	ERR12454728	4431777	1286535846
ERP122366	ERX11830172	qiita_ptid_16315:11135.Sample.x3152474	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736218	SAMEA115100772	Illumina NovaSeq 6000	6602476	636212559	ERR12454875	6602476	1965772028
ERP122366	ERX11830212	qiita_ptid_16315:11135.Sample.x3160965	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736258	SAMEA115100812	Illumina NovaSeq 6000	7809853	733203350	ERR12454915	7809853	2260770542
ERP122366	ERX11830065	qiita_ptid_16315:11135.Sample.X3159818	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736112	SAMEA115100666	Illumina NovaSeq 6000	10254264	1004019405	ERR12454768	10254264	3040395866
ERP122366	ERX11829892	qiita_ptid_16315:11135.BLANK.HNRC.4.12E	256318	metagenome	WGS	METAGENOMIC	PCR	ERS17735942	SAMEA115100496	Illumina NovaSeq 6000	34816	3418908	ERR12454595	34816	10493383
ERP122366	ERX11829998	qiita_ptid_16315:11135.Sample.X3149941	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736046	SAMEA115100600	Illumina NovaSeq 6000	7540748	717360698	ERR12454701	7540748	2187671673
ERP122366	ERX11830226	qiita_ptid_16315:11135.Sample.x3164702	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736272	SAMEA115100826	Illumina NovaSeq 6000	6542800	623973392	ERR12454929	6542800	1916369717
ERP122366	ERX11830109	qiita_ptid_16315:11135.Sample.X3167088	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736155	SAMEA115100709	Illumina NovaSeq 6000	7346985	669669022	ERR12454812	7346985	2069093218
ERP122366	ERX11830130	qiita_ptid_16315:11135.Sample.x3144070	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736176	SAMEA115100730	Illumina NovaSeq 6000	6817393	618899051	ERR12454833	6817393	1920945585
ERP122366	ERX11830169	qiita_ptid_16315:11135.Sample.x3152227	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736215	SAMEA115100769	Illumina NovaSeq 6000	7096087	670785325	ERR12454872	7096087	2075401074
ERP122366	ERX11830202	qiita_ptid_16315:11135.Sample.x3159302	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736248	SAMEA115100802	Illumina NovaSeq 6000	8793609	812316126	ERR12454905	8793609	2519784487
ERP122366	ERX11830152	qiita_ptid_16315:11135.Sample.x3148887	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736198	SAMEA115100752	Illumina NovaSeq 6000	7568837	720120098	ERR12454855	7568837	2241697993
ERP122366	ERX11830018	qiita_ptid_16315:11135.Sample.X3152871	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736066	SAMEA115100620	Illumina NovaSeq 6000	5089137	481180024	ERR12454721	5089137	1498577215
ERP122366	ERX11829860	qiita_ptid_16315:11135.BLANK.HNRC.2.2E	256318	metagenome	WGS	METAGENOMIC	PCR	ERS17735910	SAMEA115100464	Illumina NovaSeq 6000	22107	2209681	ERR12454563	22107	6660778
ERP122366	ERX11830188	qiita_ptid_16315:11135.Sample.x3156747	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736234	SAMEA115100788	Illumina NovaSeq 6000	5591745	539119093	ERR12454891	5591745	1643127997
ERP122366	ERX11830186	qiita_ptid_16315:11135.Sample.x3156557	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736232	SAMEA115100786	Illumina NovaSeq 6000	9696663	885406624	ERR12454889	9696663	2740851512
ERP122366	ERX11830207	qiita_ptid_16315:11135.Sample.x3160411	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736253	SAMEA115100807	Illumina NovaSeq 6000	5800156	540279480	ERR12454910	5800156	1671046625
ERP122366	ERX11829899	qiita_ptid_16315:11135.BLANK.HNRC.4.4D	256318	metagenome	WGS	METAGENOMIC	PCR	ERS17735949	SAMEA115100503	Illumina NovaSeq 6000	1722251	171446782	ERR12454602	1722251	518755247
ERP122366	ERX11830063	qiita_ptid_16315:11135.Sample.X3159618	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736110	SAMEA115100664	Illumina NovaSeq 6000	6027162	576879695	ERR12454766	6027162	1796628408
ERP122366	ERX11830038	qiita_ptid_16315:11135.Sample.X3157028	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736085	SAMEA115100639	Illumina NovaSeq 6000	5478043	517709012	ERR12454741	5478043	1606945917
ERP122366	ERX11830099	qiita_ptid_16315:11135.Sample.X3165029	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736145	SAMEA115100699	Illumina NovaSeq 6000	8882519	813344563	ERR12454802	8882519	2510240828
ERP122366	ERX11829888	qiita_ptid_16315:11135.BLANK.HNRC.4.12A	256318	metagenome	WGS	METAGENOMIC	PCR	ERS17735938	SAMEA115100492	Illumina NovaSeq 6000	61769	6089396	ERR12454591	61769	18619711
ERP122366	ERX11830069	qiita_ptid_16315:11135.Sample.X3160366	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736115	SAMEA115100669	Illumina NovaSeq 6000	5546042	518103773	ERR12454772	5546042	1590828016
ERP122366	ERX11829933	qiita_ptid_16315:11135.Sample.X3144104	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17735982	SAMEA115100536	Illumina NovaSeq 6000	4672113	437262914	ERR12454636	4672113	1356344261
ERP122366	ERX11830017	qiita_ptid_16315:11135.Sample.X3152833	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736065	SAMEA115100619	Illumina NovaSeq 6000	8290941	775844589	ERR12454720	8290941	2413170401
ERP122366	ERX11829868	qiita_ptid_16315:11135.BLANK.HNRC.3.3E	256318	metagenome	WGS	METAGENOMIC	PCR	ERS17735918	SAMEA115100472	Illumina NovaSeq 6000	56463	5528183	ERR12454571	56463	17015663
ERP122366	ERX11829923	qiita_ptid_16315:11135.Sample.X3143566	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17735973	SAMEA115100527	Illumina NovaSeq 6000	7583962	710210060	ERR12454626	7583962	2190209707
ERP122366	ERX11829910	qiita_ptid_16315:11135.Sample.X3139931	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17735960	SAMEA115100514	Illumina NovaSeq 6000	2864034	266943660	ERR12454613	2864034	826499233
ERP122366	ERX11830116	qiita_ptid_16315:11135.Sample.X3168086	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736162	SAMEA115100716	Illumina NovaSeq 6000	6896871	646655895	ERR12454819	6896871	2006649826
ERP122366	ERX11830213	qiita_ptid_16315:11135.Sample.x3161085	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736259	SAMEA115100813	Illumina NovaSeq 6000	7605396	700263341	ERR12454916	7605396	2191927335
ERP122366	ERX11830010	qiita_ptid_16315:11135.Sample.X3152233	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736058	SAMEA115100612	Illumina NovaSeq 6000	6576748	616264616	ERR12454713	6576748	1921393527
ERP122366	ERX11829978	qiita_ptid_16315:11135.Sample.X3148431	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736027	SAMEA115100581	Illumina NovaSeq 6000	4149436	386148608	ERR12454681	4149436	1190178396
ERP122366	ERX11830007	qiita_ptid_16315:11135.Sample.X3151860	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736055	SAMEA115100609	Illumina NovaSeq 6000	6533975	600879608	ERR12454710	6533975	1863011516
ERP122366	ERX11829879	qiita_ptid_16315:11135.BLANK.HNRC.4.10H	256318	metagenome	WGS	METAGENOMIC	PCR	ERS17735929	SAMEA115100483	Illumina NovaSeq 6000	198264	19532814	ERR12454582	198264	59787600
ERP122366	ERX11829935	qiita_ptid_16315:11135.Sample.X3144228	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17735984	SAMEA115100538	Illumina NovaSeq 6000	8162580	776073657	ERR12454638	8162580	2396755780
ERP122366	ERX11830143	qiita_ptid_16315:11135.Sample.x3148134	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736189	SAMEA115100743	Illumina NovaSeq 6000	8449930	846722933	ERR12454846	8449930	2538533910
ERP122366	ERX11829909	qiita_ptid_16315:11135.Sample.X3139655	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17735959	SAMEA115100513	Illumina NovaSeq 6000	5224734	492291125	ERR12454612	5224734	1515055920
ERP122366	ERX11829934	qiita_ptid_16315:11135.Sample.X3144117	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17735983	SAMEA115100537	Illumina NovaSeq 6000	7466477	685914367	ERR12454637	7466477	2120669481
ERP122366	ERX11829964	qiita_ptid_16315:11135.Sample.X3147775	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736013	SAMEA115100567	Illumina NovaSeq 6000	9338899	866505249	ERR12454667	9338899	2690133652
ERP122366	ERX11830086	qiita_ptid_16315:11135.Sample.X3162149	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736132	SAMEA115100686	Illumina NovaSeq 6000	13439573	1324438984	ERR12454789	13439573	4025786386
ERP122366	ERX11830170	qiita_ptid_16315:11135.Sample.x3152328	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736216	SAMEA115100770	Illumina NovaSeq 6000	6505666	598852752	ERR12454873	6505666	1857181219
ERP122366	ERX11830122	qiita_ptid_16315:11135.Sample.X3170393	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736168	SAMEA115100722	Illumina NovaSeq 6000	7573290	710107778	ERR12454825	7573290	2187968378
ERP122366	ERX11829866	qiita_ptid_16315:11135.BLANK.HNRC.3.3C	256318	metagenome	WGS	METAGENOMIC	PCR	ERS17735916	SAMEA115100470	Illumina NovaSeq 6000	29366	2899035	ERR12454569	29366	8848779
ERP122366	ERX11830094	qiita_ptid_16315:11135.Sample.X3163494	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736140	SAMEA115100694	Illumina NovaSeq 6000	8939995	832880727	ERR12454797	8939995	2573944488
ERP122366	ERX11829966	qiita_ptid_16315:11135.Sample.X3147936	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736015	SAMEA115100569	Illumina NovaSeq 6000	7924609	736364726	ERR12454669	7924609	2281748796
ERP122366	ERX11829982	qiita_ptid_16315:11135.Sample.X3148665	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736031	SAMEA115100585	Illumina NovaSeq 6000	9282183	882954091	ERR12454685	9282183	2726208330
ERP122366	ERX11830166	qiita_ptid_16315:11135.Sample.x3151481	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736212	SAMEA115100766	Illumina NovaSeq 6000	6336642	598700814	ERR12454869	6336642	1880906365
ERP122366	ERX11829873	qiita_ptid_16315:11135.BLANK.HNRC.4.10B	256318	metagenome	WGS	METAGENOMIC	PCR	ERS17735923	SAMEA115100477	Illumina NovaSeq 6000	26674	2612551	ERR12454576	26674	8040320
ERP122366	ERX11830182	qiita_ptid_16315:11135.Sample.x3156238	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736228	SAMEA115100782	Illumina NovaSeq 6000	5576079	510413130	ERR12454885	5576079	1575605813
ERP122366	ERX11829916	qiita_ptid_16315:11135.Sample.X3140924	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17735966	SAMEA115100520	Illumina NovaSeq 6000	8980803	862922468	ERR12454619	8980803	2635657926
ERP122366	ERX11830119	qiita_ptid_16315:11135.Sample.X3168483	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736165	SAMEA115100719	Illumina NovaSeq 6000	6341637	578516634	ERR12454822	6341637	1816384897
ERP122366	ERX11829895	qiita_ptid_16315:11135.BLANK.HNRC.4.12H	256318	metagenome	WGS	METAGENOMIC	PCR	ERS17735945	SAMEA115100499	Illumina NovaSeq 6000	497787	50158257	ERR12454598	497787	150125392
ERP122366	ERX11829986	qiita_ptid_16315:11135.Sample.X3148765	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736035	SAMEA115100589	Illumina NovaSeq 6000	7982457	764339633	ERR12454689	7982457	2369040467
ERP122366	ERX11829877	qiita_ptid_16315:11135.BLANK.HNRC.4.10F	256318	metagenome	WGS	METAGENOMIC	PCR	ERS17735927	SAMEA115100481	Illumina NovaSeq 6000	339059	33984043	ERR12454580	339059	102244762
ERP122366	ERX11830008	qiita_ptid_16315:11135.Sample.X3151898	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736056	SAMEA115100610	Illumina NovaSeq 6000	7389266	692534043	ERR12454711	7389266	2169791036
ERP122366	ERX11829951	qiita_ptid_16315:11135.Sample.X3145594	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736000	SAMEA115100554	Illumina NovaSeq 6000	5699630	527227726	ERR12454654	5699630	1624839949
ERP122366	ERX11830101	qiita_ptid_16315:11135.Sample.X3165523	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736147	SAMEA115100701	Illumina NovaSeq 6000	7164895	663549322	ERR12454804	7164895	2067368718
ERP122366	ERX11829999	qiita_ptid_16315:11135.Sample.X3150003	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736047	SAMEA115100601	Illumina NovaSeq 6000	6040042	554496323	ERR12454702	6040042	1725570995
ERP122366	ERX11829900	qiita_ptid_16315:11135.BLANK.HNRC.4.4E	256318	metagenome	WGS	METAGENOMIC	PCR	ERS17735950	SAMEA115100504	Illumina NovaSeq 6000	1370085	135917736	ERR12454603	1370085	413041165
ERP122366	ERX11830210	qiita_ptid_16315:11135.Sample.x3160627	408170	human gut metagenome	WGS	METAGENOMIC	PCR	ERS17736256	SAMEA115100810	Illumina NovaSeq 6000	6483244	611080984	ERR12454913	6483244	1893242228
