study_accession	experiment_accession	experiment_title	sample_taxon_id	sample_scientific_name	experiment_library_strategy	experiment_library_source	experiment_library_selection	sample_accession	sample_alias	experiment_instrument_model	pool_member_spots	run_1_size	run_1_accession	run_1_total_spots	run_1_total_bases
SRP057529	SRX1003110	GSM1664138: RNA-seq of oriPtL overexpressing Mutu cells_1; Human gammaherpesvirus 4; RNA-Seq	10376	human gammaherpesvirus 4	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS918171	GSM1664138	Illumina HiSeq 2000	47463810	3463377384	SRR1984520	47463810	4793844810
SRP057529	SRX1003109	GSM1664137: RNA-seq of control Mutu cells_2; Human gammaherpesvirus 4; RNA-Seq	10376	human gammaherpesvirus 4	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS918173	GSM1664137	Illumina HiSeq 2000	52200820	3820232275	SRR1984519	52200820	5272282820
SRP057529	SRX1003108	GSM1664136: RNA-seq of control Mutu cells_1; Human gammaherpesvirus 4; RNA-Seq	10376	human gammaherpesvirus 4	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS918174	GSM1664136	Illumina HiSeq 2000	49647227	3622998133	SRR1984518	49647227	5014369927
SRP057529	SRX1003107	GSM1664135: RNA-seq of induced oriPtL knockdown Akata cells (using GapmeR 2 for knockdown)_3; Human gammaherpesvirus 4; RNA-Seq	10376	human gammaherpesvirus 4	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS918175	GSM1664135	Illumina HiSeq 2000	151031278	10606673527	SRR1984517	151031278	15254159078
SRP057529	SRX1003106	GSM1664134: RNA-seq of induced oriPtL knockdown Akata cells (using GapmeR 2 for knockdown)_2; Human gammaherpesvirus 4; RNA-Seq	10376	human gammaherpesvirus 4	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS918176	GSM1664134	Illumina HiSeq 2000	59239709	4355542182	SRR1984516	59239709	5983210609
SRP057529	SRX1003105	GSM1664133: RNA-seq of induced oriPtL knockdown Akata cells (using GapmeR 2 for knockdown)_1; Human gammaherpesvirus 4; RNA-Seq	10376	human gammaherpesvirus 4	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS918177	GSM1664133	Illumina HiSeq 2000	62300364	4582205517	SRR1984515	62300364	6292336764
SRP057529	SRX1003104	GSM1664132: RNA-seq of induced oriPtL knockdown Akata cells (using GapmeR 1 for knockdown)_3; Human gammaherpesvirus 4; RNA-Seq	10376	human gammaherpesvirus 4	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS918178	GSM1664132	Illumina HiSeq 2000	60047569	4436468334	SRR1984514	60047569	6064804469
SRP057529	SRX1003103	GSM1664131: RNA-seq of induced oriPtL knockdown Akata cells (using GapmeR 1 for knockdown)_2; Human gammaherpesvirus 4; RNA-Seq	10376	human gammaherpesvirus 4	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS918179	GSM1664131	Illumina HiSeq 2000	58781294	4340835169	SRR1984513	58781294	5936910694
SRP057529	SRX1003102	GSM1664130: RNA-seq of induced oriPtL knockdown Akata cells (using GapmeR 1 for knockdown)_1; Human gammaherpesvirus 4; RNA-Seq	10376	human gammaherpesvirus 4	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS918180	GSM1664130	Illumina HiSeq 2000	57451159	4239976663	SRR1984512	57451159	5802567059
SRP057529	SRX1003101	GSM1664129: RNA-seq of induced control Akata cells (using CNTL GapmeR)_3; Human gammaherpesvirus 4; RNA-Seq	10376	human gammaherpesvirus 4	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS918181	GSM1664129	Illumina HiSeq 2000	62952490	4640153795	SRR1984511	62952490	6358201490
SRP057529	SRX1003100	GSM1664128: RNA-seq of induced control Akata cells (using CNTL GapmeR)_2; Human gammaherpesvirus 4; RNA-Seq	10376	human gammaherpesvirus 4	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS918182	GSM1664128	Illumina HiSeq 2000	63496901	4623193391	SRR1984510	63496901	6413187001
SRP057529	SRX1003099	GSM1664127: RNA-seq of induced control Akata cells (using CNTL GapmeR)_1; Human gammaherpesvirus 4; RNA-Seq	10376	human gammaherpesvirus 4	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS918183	GSM1664127	Illumina HiSeq 2000	57478984	4197869019	SRR1984509	57478984	5805377384
SRP057529	SRX1003098	GSM1664126: RNA-seq of uninduced Akata cells_3; Human gammaherpesvirus 4; RNA-Seq	10376	human gammaherpesvirus 4	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS918184	GSM1664126	Illumina HiSeq 2000	61201155	4455248272	SRR1984508	61201155	6181316655
SRP057529	SRX1003097	GSM1664125: RNA-seq of uninduced Akata cells_2; Human gammaherpesvirus 4; RNA-Seq	10376	human gammaherpesvirus 4	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS918185	GSM1664125	Illumina HiSeq 2000	60021303	4413909028	SRR1984507	60021303	6062151603
SRP057529	SRX1003096	GSM1664124: RNA-seq of uninduced Akata cells_1; Human gammaherpesvirus 4; RNA-Seq	10376	human gammaherpesvirus 4	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS918186	GSM1664124	Illumina HiSeq 2000	58755997	4338646920	SRR1984506	58755997	5934355697
SRP055781	SRX895941	GSM1623232: PolII_ChIPSeq_HSV1; Mus musculus; Human alphaherpesvirus 1 strain KOS; ChIP-Seq	10090	Mus musculus	ChIP-Seq	GENOMIC	ChIP	SRS861734	GSM1623232	Illumina HiSeq 2000	37613524	1484492058	SRR1824575	37613524	4739304024
SRP055781	SRX895940	GSM1623231: PolII_ChIPSeq_mock; Mus musculus; ChIP-Seq	10090	Mus musculus	ChIP-Seq	GENOMIC	ChIP	SRS861735	GSM1623231	Illumina HiSeq 2000	33658737	1361330382	SRR1824574	33658737	4241000862
SRP053360	SRX869246	GSM1604067: sRNAs from Sav* cell line, 24h after treatment with TGF-β1; Homo sapiens; miRNA-Seq	9606	Homo sapiens	miRNA-Seq	TRANSCRIPTOMIC	size fractionation	SRS840018	GSM1604067	Illumina Genome Analyzer IIx	25835340	664743097	SRR1793812	25835340	930072240
SRP053360	SRX869245	GSM1604066: sRNAs from Sav* cell line, 2h after treatment with TGF-β1; Homo sapiens; miRNA-Seq	9606	Homo sapiens	miRNA-Seq	TRANSCRIPTOMIC	size fractionation	SRS840019	GSM1604066	Illumina Genome Analyzer IIx	27452565	696130917	SRR1793811	27452565	988292340
SRP053360	SRX869244	GSM1604065: sRNAs from untreated Sav* cell line; Homo sapiens; miRNA-Seq	9606	Homo sapiens	miRNA-Seq	TRANSCRIPTOMIC	size fractionation	SRS840020	GSM1604065	Illumina Genome Analyzer IIx	24724854	685631023	SRR1793810	24724854	890094744
SRP053360	SRX869243	GSM1604064: sRNAs from Kem-I cell line, 24h after treatment with TGF-β1; Homo sapiens; miRNA-Seq	9606	Homo sapiens	miRNA-Seq	TRANSCRIPTOMIC	size fractionation	SRS840021	GSM1604064	Illumina Genome Analyzer IIx	31965354	771007081	SRR1793809	31965354	1150752744
SRP053360	SRX869242	GSM1604063: sRNAs from Kem-I cell line, 2h after treatment with TGF-β1; Homo sapiens; miRNA-Seq	9606	Homo sapiens	miRNA-Seq	TRANSCRIPTOMIC	size fractionation	SRS840022	GSM1604063	Illumina Genome Analyzer IIx	30623888	756715879	SRR1793808	30623888	1102459968
SRP053360	SRX869241	GSM1604062: sRNAs from untreated Kem-I cell line; Homo sapiens; miRNA-Seq	9606	Homo sapiens	miRNA-Seq	TRANSCRIPTOMIC	size fractionation	SRS840023	GSM1604062	Illumina Genome Analyzer IIx	22102558	570187271	SRR1793807	22102558	795692088
SRP053360	SRX869240	GSM1604061: sRNAs from Mutu-I cell line, 24h after treatment with TGF-β1; Homo sapiens; miRNA-Seq	9606	Homo sapiens	miRNA-Seq	TRANSCRIPTOMIC	size fractionation	SRS840024	GSM1604061	Illumina Genome Analyzer IIx	25074833	577045707	SRR1793806	25074833	902693988
SRP053360	SRX869239	GSM1604060: sRNAs from Mutu-I cell line, 2h after treatment with TGF-β1; Homo sapiens; miRNA-Seq	9606	Homo sapiens	miRNA-Seq	TRANSCRIPTOMIC	size fractionation	SRS840025	GSM1604060	Illumina Genome Analyzer IIx	23051704	563437404	SRR1793805	23051704	829861344
